start_station_name,member_casual,rides_total,avg_trip_duration,max_trip_duration,min_trip_duration
Lincoln Ave & Diversey Pkwy,member,9129,10.540584949063419,1081,1
Michigan Ave & Washington St,casual,9101,32.536864080870231,1351,1
DuSable Lake Shore Dr & Diversey Pkwy,casual,9030,25.657142857142858,1302,1
New St & Illinois St,casual,8959,31.057707333407741,1365,1
Wood St & Milwaukee Ave,member,8898,13.67779276241852,1292,1
DuSable Lake Shore Dr & Belmont Ave,casual,8897,26.733280881195913,1435,1
LaSalle St & Illinois St,casual,8840,22.114479638009048,1396,1
Wabash Ave & 9th St,member,8774,11.921016640072938,1233,1
Ogden Ave & Chicago Ave,member,8719,10.651909622663149,532,1
McClurg Ct & Ohio St,casual,8667,32.274143302180683,1307,1
Kingsbury St & Kinzie St,casual,8650,14.769710982658962,1197,1
Sangamon St & Lake St,member,8495,11.061212477928196,525,1
Milwaukee Ave & Wabansia Ave,member,8487,12.585365853658537,1439,1
Clark St & Wrightwood Ave,casual,8412,15.926890156918688,1423,1
Honore St & Division St,member,8407,13.713096229332699,1215,1
Michigan Ave & Lake St,casual,8366,30.255797274683243,1324,1
Sheffield Ave & Fullerton Ave,casual,8281,13.224489795918366,1064,1
Sheffield Ave & Waveland Ave,casual,8218,20.196154782185445,1245,1
Wolcott Ave & Polk St,member,8202,10.785662033650331,1132,1
Field Museum,casual,8173,29.748929401688486,1343,1
Larrabee St & Webster Ave,casual,8170,16.371236230110163,1316,1
Southport Ave & Belmont Ave,member,8061,10.519042302443866,1379,1
Wells St & Walton St,member,8045,8.95873213175886,461,1
Lakeview Ave & Fullerton Pkwy,casual,8041,22.528541226215641,1244,1
Michigan Ave & 14th St,member,7990,12.884355444305383,1019,1
Dayton St & North Ave,member,7989,11.957316309926155,1302,1
Mies van der Rohe Way & Chestnut St,member,7987,13.45824464755227,856,1
Rhodes Ave & 32nd St,member,7971,10.294693263078656,1439,1
Racine Ave & Belmont Ave,member,7890,10.995690747782001,1012,1
Clark St & Berwyn Ave,member,7880,12.350888324873095,1272,1
Wacker Dr & Washington St,member,7875,8.94615873015873,503,1
Larrabee St & Division St,member,7867,9.58243294775645,950,1
Montrose Harbor,member,7858,20.741282769152452,1367,1
Wells St & Huron St,casual,7826,14.783158701763355,1197,1
Sheridan Rd & Buena Ave,member,7810,12.245966709346991,1191,1
Halsted St & Roscoe St,casual,7796,16.373524884556179,1062,1
Carpenter St & Huron St,member,7757,10.087147092948301,451,1
DuSable Lake Shore Dr & Wellington Ave,casual,7714,26.581799325900963,1323,1
Wells St & Evergreen Ave,casual,7701,14.963121672510063,929,1
Financial Pl & Ida B Wells Dr,member,7685,11.200390370852311,1199,1
Broadway & Wilson Ave,member,7676,11.127540385617507,964,1
Lincoln Ave & Fullerton Ave,casual,7663,15.168080386271695,1030,1
Broadway & Cornelia Ave,casual,7648,19.875523012552303,1356,1
Halsted St & Maxwell St,member,7564,9.6529613960867255,1335,1
Greenview Ave & Fullerton Ave,member,7551,11.37690372136141,1439,1
Aberdeen St & Randolph St,member,7547,10.505498873724662,1032,1
Clark St & Grace St,member,7538,11.132130538604409,914,1
Racine Ave & Congress Pkwy,member,7517,9.2668617799654136,437,1
Clarendon Ave & Junior Ter,member,7439,13.094233095846214,1172,1
Kedzie Ave & Milwaukee Ave,member,7416,14.834681769147791,1439,1
Southport Ave & Wrightwood Ave,member,7411,10.450681419511536,896,1
Wells St & Hubbard St,casual,7404,17.19097784981091,1340,1
Halsted St & Willow St,member,7368,11.227877307274703,1321,1
Dearborn St & Erie St,casual,7337,21.842442415156061,1317,1
Columbus Dr & Randolph St,casual,7292,31.520707624794298,1436,1
Halsted St & Roosevelt Rd,member,7252,9.3921676778819645,1186,1
LaSalle Dr & Huron St,member,7196,11.078237909949969,1084,1
State St & Chicago Ave,casual,7189,18.104604256502988,1308,1
Stetson Ave & South Water St,member,7168,11.052036830357146,874,1
Clark St & Chicago Ave,member,7151,10.708712068242207,1361,1
Clifton Ave & Armitage Ave,member,7137,12.133669609079444,1317,1
Aberdeen St & Monroe St,member,7123,10.337919415976415,952,1
Desplaines St & Randolph St,member,7106,10.713903743315511,1198,1
Southport Ave & Roscoe St,casual,7105,16.785503166783954,1332,1
Woodlawn Ave & 55th St,member,7092,9.33981951494642,1434,1
Desplaines St & Kinzie St,casual,7078,14.024441932749367,1099,1
Ellis Ave & 58th St,member,7076,7.6440079140757495,1047,1
Ashland Ave & Division St,casual,7054,17.478593705698895,1385,1
Jefferson St & Monroe St,member,7045,10.258623136976579,762,1
Cityfront Plaza Dr & Pioneer Ct,member,7034,13.096673301108899,1229,1
Lincoln Park Conservatory,casual,7018,32.089626674266178,1376,1
Pine Grove Ave & Waveland Ave,casual,7003,21.945166357275451,1415,1
Franklin St & Adams St (Temp),member,6998,9.946699056873392,531,1
Clark St & Drummond Pl,casual,6995,18.147962830593283,1401,1
Ritchie Ct & Banks St,member,6989,12.802546859350405,1126,1
Wells St & Polk St,member,6976,10.179615825688071,1241,1
Paulina St & Flournoy St,member,6960,11.911206896551725,969,1
Halsted St & Wrightwood Ave,casual,6960,13.710775862068964,1431,1
Ellis Ave & 60th St,casual,6911,12.184488496599627,1417,1
Damen Ave & Chicago Ave,member,6900,11.733623188405799,969,1
Damen Ave & Pierce Ave,casual,6880,17.5156976744186,1376,1
Clark St & North Ave,member,6863,13.614308611394437,709,1
Larrabee St & Oak St,member,6860,9.9524781341107857,969,1
California Ave & Milwaukee Ave,member,6834,11.243927421714952,296,1
Field Blvd & South Water St,member,6832,15.90456674473068,947,1
Damen Ave & Cortland St,member,6800,12.54544117647059,465,1
Broadway & Waveland Ave,casual,6786,17.101827291482461,1430,1
Wabash Ave & Roosevelt Rd,casual,6756,24.072972172883365,1265,1
Sheffield Ave & Willow St,member,6749,10.147873759075418,389,1
Sheffield Ave & Wrightwood Ave,casual,6701,15.672884644082979,1439,1
Rush St & Hubbard St,member,6697,11.247573540391222,1320,1
Clark St & Leland Ave,member,6682,12.221789883268483,1196,1
Wabash Ave & Wacker Pl,member,6673,13.714970777761122,1394,1
Michigan Ave & Jackson Blvd,casual,6659,35.0175702057366,1430,1
Michigan Ave & 8th St,member,6614,13.997883277895371,1439,1
Southport Ave & Waveland Ave,casual,6608,17.042524213075069,1358,1
Dearborn Pkwy & Delaware Pl,casual,6545,18.564858670741021,1328,1
Sheffield Ave & Webster Ave,casual,6486,16.008325624421833,1315,1
Lakefront Trail & Bryn Mawr Ave,member,6486,22.58587727412889,1374,1
University Ave & 57th St,casual,6482,14.543042270904042,1376,1
Western Ave & Winnebago Ave,member,6470,12.097372488408038,811,1
Wabash Ave & Adams St,member,6460,11.505727554179565,959,1
Halsted St & Clybourn Ave,casual,6420,14.871651090342677,1390,1
Dearborn St & Adams St,member,6382,10.894860545283612,816,1
Clinton St & Washington Blvd,casual,6380,16.350783699059559,1347,1
